uid,fraud,ftype,risk_score,risk_cat,email_len,email_num_ratio,email_rand,disp_email,phone_score,uniq_dev,max_acc_dev,uniq_addr,max_acc_addr,uniq_pay,max_acc_pay,promo_ratio,reg2txn_min,newuser_voucher,txn_f1m,amt_f1m,avg_amt1m,promo_f1m,voucher_f1m,txn_f2m,amt_f2m,avg_amt2m,promo_f2m,voucher_f2m,txn_f3m,amt_f3m,avg_amt3m,promo_f3m,voucher_f3m,txn_f4m,amt_f4m,avg_amt4m,promo_f4m,voucher_f4m,txn_f5m,amt_f5m,avg_amt5m,promo_f5m,voucher_f5m,txn_f6m,amt_f6m,avg_amt6m,promo_f6m,voucher_f6m,max_acc_ip,login_v1h,login_v2h,login_v3h,login_v4h,login_v5h,login_v6h,login_v12h,login_v18h,login_v24h,ref_cnt,ref_ring,degree,comp_size,cluster,shared_ent,shared_device_count,shared_address_count,shared_payment_count,shared_ip_count
USR00011,True,shared_address_abuse,30,Low,19,0.2222222222222222,2.94770277922009,False,0.2818181818181818,1,2,1,5,1,2,0.6,9,0,0,0,0,0,0,1,177000,177000,10000,1,5,539500,107900,30000,3,5,539500,107900,30000,3,5,539500,107900,30000,3,5,539500,107900,30000,3,103,1,1,2,2,2,2,2,3,3,0,0.0,508,9979,509,528,1,4,1,522
USR00012,False,normal,90,High,19,0.2857142857142857,2.807354922057604,False,0.1909090909090909,1,6,1,10,1,4,0.0,1,0,1,382500,382500,0,0,1,382500,382500,0,0,1,382500,382500,0,0,1,382500,382500,0,0,1,382500,382500,0,0,1,382500,382500,0,0,93,5,5,5,5,5,5,5,5,5,0,0.0,155,9979,156,157,5,9,3,140
USR00013,False,normal,65,High,23,0.0,2.5654483718208256,False,0.21000000000000002,1,5,1,10,1,4,1.0,611,1,1,36000,36000,36000,1,1,36000,36000,36000,1,1,36000,36000,36000,1,1,36000,36000,36000,1,1,36000,36000,36000,1,1,36000,36000,36000,1,100,4,4,4,4,4,4,4,4,4,0,0.0,159,9979,160,167,4,9,3,151
USR00014,True,shared_device_abuse,30,Low,18,0.25,2.75,False,0.21818181818181817,1,5,1,1,1,2,0.4,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,424000,424000,0,0,5,1258500,251700,20000,2,97,0,0,0,0,0,0,2,4,4,0,0.0,167,9979,168,168,4,0,1,163
USR00015,True,shared_device_abuse,45,Medium,26,0.0,2.8423709931771084,False,0.39999999999999997,1,4,1,1,1,2,1.0,2665,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3656000,1828000,60000,2,92,0,0,0,0,0,0,1,1,3,0,0.0,132,9979,133,133,3,0,1,129
USR00016,False,normal,65,High,20,0.0,2.5,False,0.2818181818181818,1,5,1,10,1,4,1.0,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,166500,166500,50000,1,1,166500,166500,50000,1,1,166500,166500,50000,1,93,0,0,0,0,0,0,1,1,1,0,0.0,179,9979,180,189,4,9,3,173
USR00017,True,voucher_farming,40,Medium,17,0.2857142857142857,2.5216406363433186,False,0.39999999999999997,1,2,1,1,1,2,1.0,822,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1781000,356200,240000,5,5,1781000,356200,240000,5,5,1781000,356200,240000,5,45,0,0,0,0,0,0,0,0,1,0,0.0,46,9979,47,46,1,0,1,44
USR00018,False,normal,50,Medium,19,0.2222222222222222,3.169925001442312,False,0.3090909090909091,1,5,1,10,1,4,0.0,2056,0,0,0,0,0,0,0,0,0,0,0,1,945000,945000,0,0,1,945000,945000,0,0,1,945000,945000,0,0,1,945000,945000,0,0,93,0,0,0,0,0,0,1,1,1,0,0.0,217,9979,218,222,4,9,3,206
USR00019,True,shared_payment_abuse,30,Low,23,0.0,3.0850551027564768,False,0.1545454545454545,1,2,1,1,1,6,0.5,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,656500,328250,50000,1,102,0,0,0,0,0,0,2,2,3,0,0.0,447,9979,448,467,1,0,5,461
USR00020,False,normal,65,High,18,0.25,2.75,False,0.1909090909090909,1,5,1,10,1,4,1.0,911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25500,25500,25500,1,1,25500,25500,25500,1,110,0,0,0,0,0,0,3,3,3,0,0.0,223,9979,224,230,4,9,3,214
USR00021,False,normal,50,Medium,24,0.0,2.950212064914747,False,0.2545454545454545,1,5,1,10,1,4,0.5,1932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,834500,834500,0,0,2,2044000,1022000,50000,1,2,2044000,1022000,50000,1,86,0,0,0,0,0,0,0,1,1,0,0.0,135,9979,136,139,4,9,3,123
USR00022,False,normal,50,Medium,24,0.0,2.688721875540867,False,0.3090909090909091,1,5,1,10,1,4,0.8,38,2,3,5876000,1958666,40000,2,5,6128000,1225600,100000,4,5,6128000,1225600,100000,4,5,6128000,1225600,100000,4,5,6128000,1225600,100000,4,5,6128000,1225600,100000,4,103,1,1,1,1,1,1,1,1,1,0,0.0,112,9979,113,119,4,9,3,103
USR00023,True,shared_payment_abuse,30,Low,21,0.0,2.6416041678685933,False,0.21818181818181817,1,2,1,1,1,6,0.6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1071500,214300,50000,3,5,1071500,214300,50000,3,5,1071500,214300,50000,3,43,0,0,0,0,0,0,1,1,4,0,0.0,197,9979,198,199,1,0,5,193
USR00024,False,normal,50,Medium,22,0.0,3.188721875540867,False,0.2818181818181818,1,5,1,10,1,4,0.0,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1536000,1536000,0,0,103,0,0,0,0,0,0,1,1,1,1,0.0,44,9979,45,46,4,9,3,30
USR00025,True,referral_abuse,30,Low,25,0.0,3.32323142879762,False,0.2545454545454545,1,2,1,1,1,2,1.0,609,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4717000,1572333,90000,3,3,4717000,1572333,90000,3,3,4717000,1572333,90000,3,100,0,0,0,0,0,0,2,3,3,0,0.0,447,9979,448,463,1,0,1,461
USR00026,False,normal,50,Medium,25,0.0,3.1898980954642866,False,0.2545454545454545,1,5,1,10,1,4,0.0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1142000,1142000,0,0,103,0,0,0,0,0,0,1,1,2,1,0.0,136,9979,137,141,4,9,3,125
USR00027,True,referral_abuse,30,Low,18,0.0,2.75,False,0.27,1,2,1,1,1,2,0.5,19,0,2,1426000,713000,10000,1,2,1426000,713000,10000,1,2,1426000,713000,10000,1,2,1426000,713000,10000,1,2,1426000,713000,10000,1,2,1426000,713000,10000,1,84,0,0,0,0,0,0,1,3,3,0,0.0,507,9979,508,524,1,0,1,522
USR00028,False,normal,50,Medium,21,0.0,2.413088436425758,False,0.3181818181818182,1,5,1,10,1,4,0.6666666666666666,2488,1,0,0,0,0,0,0,0,0,0,0,2,129000,64500,20000,1,3,182000,60666,70000,2,3,182000,60666,70000,2,3,182000,60666,70000,2,100,0,0,0,0,0,0,0,1,1,0,0.0,85,9979,86,89,4,9,3,73
USR00029,False,normal,65,High,19,0.0,2.235926350629032,False,0.2545454545454545,1,5,1,10,1,4,1.0,2442,1,0,0,0,0,0,1,255000,255000,50000,1,1,255000,255000,50000,1,1,255000,255000,50000,1,1,255000,255000,50000,1,1,255000,255000,50000,1,103,0,0,0,0,0,1,1,1,1,0,0.0,206,9979,207,214,4,9,3,198
USR00030,False,normal,90,High,19,0.2222222222222222,2.725480556997868,False,0.39999999999999997,1,5,1,10,1,4,0.0,931,0,4,5398500,1349625,0,0,4,5398500,1349625,0,0,4,5398500,1349625,0,0,4,5398500,1349625,0,0,4,5398500,1349625,0,0,4,5398500,1349625,0,0,92,11,11,11,11,11,11,11,11,11,0,0.0,259,9979,260,265,4,9,3,249
USR00031,False,normal,50,Medium,22,0.0,2.8553885422075336,False,0.1909090909090909,1,5,1,10,1,4,0.5,714,1,0,0,0,0,0,0,0,0,0,0,1,134000,134000,0,0,2,550500,275250,50000,1,2,550500,275250,50000,1,2,550500,275250,50000,1,84,0,0,0,0,0,0,1,1,1,0,0.0,33,9979,34,37,4,9,3,21
USR00032,True,shared_device_abuse,45,Medium,29,0.0,2.771902372038559,False,0.34545454545454546,1,5,1,1,1,2,0.5714285714285714,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3626000,1208666,10000,1,7,8855000,1265000,70000,4,7,8855000,1265000,70000,4,49,0,0,0,0,1,1,1,2,2,0,0.0,244,9979,245,245,4,0,1,240
USR00033,True,shared_payment_abuse,30,Low,23,0.0,2.9312089489103235,False,0.34545454545454546,1,2,1,1,1,6,0.6666666666666666,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1136000,378666,40000,2,83,0,0,0,0,0,0,5,9,9,0,0.0,184,9979,185,187,1,0,5,181
USR00034,False,normal,65,High,22,0.5555555555555556,2.94770277922009,True,0.21818181818181817,1,5,1,10,1,4,1.0,276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2767500,2767500,50000,1,1,2767500,2767500,50000,1,1,2767500,2767500,50000,1,100,0,0,0,0,0,0,1,1,1,0,0.0,41,9979,42,46,4,9,3,30
USR00035,False,normal,50,Medium,25,0.4166666666666667,3.2516291673878226,True,0.37272727272727274,1,5,1,10,1,4,0.75,2305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1705000,852500,40000,2,4,2389500,597375,60000,3,108,0,0,0,0,0,0,1,1,1,1,0.0,64,9979,65,68,4,9,3,52
USR00036,False,normal,50,Medium,20,0.0,3.0,False,0.3181818181818182,1,5,1,10,1,4,0.0,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1690000,1690000,0,0,1,1690000,1690000,0,0,107,0,0,0,0,0,0,0,1,2,0,0.0,72,9979,73,76,4,9,3,60
USR00037,True,voucher_farming,40,Medium,21,0.0,2.7321588913645707,False,0.43636363636363634,1,2,1,1,1,2,0.7777777777777778,24,7,0,0,0,0,0,0,0,0,0,0,1,497500,497500,50000,1,9,5235000,581666,350000,7,9,5235000,581666,350000,7,9,5235000,581666,350000,7,98,0,0,0,0,0,0,0,1,1,0,0.0,2,9979,3,2,1,0,1,0
USR00038,False,normal,50,Medium,26,0.0,2.899397470347699,False,0.2545454545454545,1,5,1,10,1,4,0.2,1748,0,3,7860000,2620000,20000,1,5,8477000,1695400,20000,1,5,8477000,1695400,20000,1,5,8477000,1695400,20000,1,5,8477000,1695400,20000,1,5,8477000,1695400,20000,1,92,1,1,1,1,1,1,1,1,1,0,0.0,215,9979,216,226,4,9,3,210
USR00039,False,normal,50,Medium,28,0.0,3.375,False,0.1909090909090909,1,5,1,10,1,4,0.0,1608,0,0,0,0,0,0,0,0,0,0,0,1,190000,190000,0,0,1,190000,190000,0,0,1,190000,190000,0,0,1,190000,190000,0,0,106,0,0,0,0,0,0,1,1,2,0,0.0,35,9979,36,39,4,9,3,23
USR00040,False,normal,65,High,22,0.5555555555555556,2.9477027792200903,True,0.3363636363636363,1,5,1,10,1,4,0.0,26,0,0,0,0,0,0,0,0,0,0,0,1,99000,99000,0,0,1,99000,99000,0,0,1,99000,99000,0,0,1,99000,99000,0,0,103,1,1,1,1,1,1,1,1,1,0,0.0,145,9979,146,152,4,9,3,136
USR00041,False,normal,75,High,24,0.0,2.8423709931771084,False,0.2545454545454545,1,6,1,10,1,4,0.0,2263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2055500,2055500,0,0,1,2055500,2055500,0,0,98,0,0,0,0,0,0,1,1,1,0,0.0,67,9979,68,71,5,9,3,54
USR00042,False,normal,100,High,18,0.25,2.75,False,0.37272727272727274,1,6,1,10,1,4,1.0,18,1,0,0,0,0,0,1,300500,300500,50000,1,1,300500,300500,50000,1,1,300500,300500,50000,1,1,300500,300500,50000,1,1,300500,300500,50000,1,92,0,0,0,0,0,0,1,1,1,0,0.0,145,9979,146,151,5,9,3,134
USR00043,False,normal,75,High,23,0.5,3.1219280948873624,True,0.21818181818181817,1,6,1,10,1,4,0.0,1823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2219500,2219500,0,0,1,2219500,2219500,0,0,85,0,0,0,0,0,0,1,1,1,0,0.0,181,9979,182,191,5,9,3,174
USR00044,False,normal,50,Medium,24,0.16666666666666666,2.9182958340544896,False,0.2545454545454545,1,5,1,10,1,4,0.0,1312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2162000,2162000,0,0,91,0,0,0,0,0,1,1,1,1,1,0.0,205,9979,206,215,4,9,3,199
USR00045,False,normal,50,Medium,22,0.0,2.918295834054489,False,0.37272727272727274,1,5,1,10,1,4,0.8,195,2,5,5216500,1043300,90000,4,5,5216500,1043300,90000,4,5,5216500,1043300,90000,4,5,5216500,1043300,90000,4,5,5216500,1043300,90000,4,5,5216500,1043300,90000,4,93,2,2,2,2,2,2,2,2,2,0,0.0,44,9979,45,47,4,9,3,31
USR00046,False,normal,65,High,20,0.25,2.75,False,0.38,1,5,1,10,1,4,1.0,2588,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,318000,318000,50000,1,1,318000,318000,50000,1,1,318000,318000,50000,1,86,0,0,0,0,0,0,2,2,2,0,0.0,125,9979,126,128,4,9,3,112
USR00047,True,shared_address_abuse,15,Low,16,0.3333333333333333,2.584962500721156,False,0.3363636363636363,1,2,1,5,1,2,0.25,1962,0,0,0,0,0,0,0,0,0,0,0,4,1898500,474625,10000,1,4,1898500,474625,10000,1,4,1898500,474625,10000,1,4,1898500,474625,10000,1,98,0,0,0,0,0,0,1,2,3,0,0.0,438,9979,439,448,1,4,1,442
USR00048,False,normal,65,High,25,0.0,3.238901256602631,False,0.3181818181818182,1,5,1,10,1,4,1.0,1263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1553000,1553000,50000,1,1,1553000,1553000,50000,1,1,1553000,1553000,50000,1,95,0,0,0,0,0,0,1,1,1,0,0.0,117,9979,118,122,4,9,3,106
USR00049,False,normal,50,Medium,18,0.0,2.1556390622295662,False,0.40909090909090906,1,5,1,10,1,4,0.0,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,366500,183250,0,0,2,366500,183250,0,0,98,0,0,0,0,0,0,1,1,1,0,0.0,92,9979,93,96,4,9,3,80
USR00050,True,referral_abuse,30,Low,28,0.0,3.5032583347756456,False,0.2818181818181818,1,2,1,1,1,2,1.0,1041,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,221500,73833,90000,3,3,221500,73833,90000,3,3,221500,73833,90000,3,77,0,0,0,0,0,0,1,2,3,0,0.0,493,9979,494,518,1,0,1,516
USR00051,False,normal,65,High,19,0.0,2.94770277922009,False,0.2818181818181818,1,5,1,10,1,4,1.0,168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2952500,2952500,50000,1,1,2952500,2952500,50000,1,110,0,0,0,0,0,0,1,1,1,0,0.0,129,9979,130,133,4,9,3,117
USR00052,True,shared_device_abuse,30,Low,18,0.25,2.5,False,0.40909090909090906,1,2,1,1,1,2,1.0,61,1,0,0,0,0,0,0,0,0,0,0,3,737000,245666,50000,3,7,2112500,301785,150000,7,7,2112500,301785,150000,7,7,2112500,301785,150000,7,58,0,0,0,0,0,0,0,1,2,0,0.0,91,9979,92,91,1,0,1,89
USR00053,False,normal,50,Medium,22,0.5,2.9219280948873623,True,0.2818181818181818,1,5,1,10,1,4,0.0,738,0,1,232500,232500,0,0,1,232500,232500,0,0,1,232500,232500,0,0,1,232500,232500,0,0,1,232500,232500,0,0,1,232500,232500,0,0,106,8,8,8,8,8,8,8,8,8,0,0.0,176,9979,177,182,4,9,3,166
USR00054,False,normal,50,Medium,16,0.3333333333333333,2.2516291673878226,False,0.39999999999999997,1,5,1,10,1,4,0.0,1723,0,1,1330000,1330000,0,0,2,1425500,712750,0,0,2,1425500,712750,0,0,2,1425500,712750,0,0,2,1425500,712750,0,0,2,1425500,712750,0,0,103,2,2,2,2,2,2,2,2,2,0,0.0,177,9979,178,181,4,9,3,165
USR00055,False,normal,65,High,26,0.0,2.952819531114783,False,0.33999999999999997,1,5,1,10,1,4,1.0,2423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,252500,252500,50000,1,101,0,0,0,0,0,0,1,1,1,1,0.0,131,9979,132,137,4,9,3,121
USR00056,True,shared_device_abuse,45,Medium,17,0.2857142857142857,2.807354922057604,False,0.2818181818181818,1,4,1,1,1,2,0.6666666666666666,1,1,0,0,0,0,0,0,0,0,0,0,2,3532000,1766000,10000,1,3,8299000,2766333,60000,2,3,8299000,2766333,60000,2,3,8299000,2766333,60000,2,91,0,6,8,8,8,8,8,8,8,0,0.0,191,9979,192,193,3,0,1,189
USR00057,True,voucher_farming,30,Low,18,0.25,2.25,False,0.34545454545454546,1,2,1,1,1,2,1.0,2770,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18000,18000,18000,1,87,0,0,0,0,0,0,2,3,4,0,0.0,348,9979,349,365,1,0,1,363
USR00058,True,shared_payment_abuse,70,High,25,0.0,3.0269868333592873,False,0.2818181818181818,1,2,1,1,1,6,1.0,36591,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45000,45000,45000,1,1,45000,45000,45000,1,1,45000,45000,45000,1,105,20,20,20,20,20,20,20,20,20,0,0.0,627,9979,628,678,1,0,5,672
USR00059,True,shared_device_abuse,45,Medium,17,0.2857142857142857,2.5216406363433186,False,0.24000000000000002,1,3,1,1,1,2,1.0,2274,2,0,0,0,0,0,0,0,0,0,0,4,1445000,361250,90000,4,4,1445000,361250,90000,4,4,1445000,361250,90000,4,4,1445000,361250,90000,4,84,0,0,0,0,0,0,1,1,3,0,0.0,64,9979,65,64,2,0,1,61
USR00060,False,normal,50,Medium,21,0.0,3.2776134368191165,False,0.39999999999999997,1,5,1,10,1,4,0.75,1279,1,0,0,0,0,0,1,233500,233500,0,0,4,1399000,349750,80000,3,4,1399000,349750,80000,3,4,1399000,349750,80000,3,4,1399000,349750,80000,3,108,0,0,0,0,0,1,1,1,1,0,0.0,119,9979,120,122,4,9,3,106
USR00061,False,normal,50,Medium,25,0.0,2.6612262562697895,False,0.2818181818181818,1,5,1,10,1,4,0.5,1690,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2793000,2793000,0,0,3,7429000,2476333,20000,1,4,8268500,2067125,70000,2,97,0,0,0,0,0,0,1,1,1,0,0.0,141,9979,142,145,4,9,3,129
USR00062,True,referral_abuse,15,Low,19,0.0,2.94770277922009,False,0.21818181818181817,1,2,1,1,1,2,0.75,655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2244000,561000,80000,3,4,2244000,561000,80000,3,4,2244000,561000,80000,3,47,0,2,2,2,2,2,2,2,2,3,0.0,202,9979,203,207,1,0,1,205
USR00063,False,normal,65,High,19,0.2222222222222222,2.94770277922009,False,0.2818181818181818,1,5,1,10,1,4,1.0,2568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,302000,302000,50000,1,1,302000,302000,50000,1,96,0,0,0,0,0,0,2,2,2,0,0.0,190,9979,191,195,4,9,3,179
USR00064,True,shared_device_abuse,45,Medium,26,0.0,2.6556390622295662,False,0.40909090909090906,1,4,1,1,1,2,0.4,21,0,0,0,0,0,0,1,19000,19000,0,0,5,994000,198800,30000,2,5,994000,198800,30000,2,5,994000,198800,30000,2,5,994000,198800,30000,2,90,2,2,2,2,2,3,3,3,3,0,0.0,78,9979,79,78,3,0,1,74
USR00065,False,normal,65,High,24,0.0,3.521640636343319,False,0.2545454545454545,1,5,1,10,1,4,1.0,655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,142000,142000,50000,1,90,0,0,0,0,0,0,0,1,1,1,0.0,123,9979,124,128,4,9,3,112
USR00066,False,normal,65,High,22,0.0,2.6464393446710153,False,0.3090909090909091,1,5,1,10,1,4,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30000,30000,0,0,1,30000,30000,0,0,1,30000,30000,0,0,100,0,0,0,0,0,0,1,1,1,0,0.0,176,9979,177,184,4,9,3,168
USR00067,False,normal,50,Medium,23,0.0,3.277613436819116,False,0.1909090909090909,1,5,1,10,1,4,0.6666666666666666,1651,1,0,0,0,0,0,0,0,0,0,0,2,407000,203500,10000,1,3,485000,161666,60000,2,3,485000,161666,60000,2,3,485000,161666,60000,2,95,0,0,0,0,0,0,1,1,1,0,0.0,292,9979,293,300,4,9,3,284
USR00068,False,normal,65,High,17,0.2857142857142857,2.807354922057604,False,0.39999999999999997,1,5,1,10,1,4,0.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,463000,463000,0,0,92,0,0,0,0,0,0,1,1,2,1,0.0,129,9979,130,134,4,9,3,118
USR00069,False,normal,50,Medium,24,0.0,2.751629167387823,False,0.2545454545454545,1,5,1,10,1,4,0.0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43000,43000,0,0,1,43000,43000,0,0,1,43000,43000,0,0,103,0,0,0,0,0,0,2,2,2,0,0.0,218,9979,219,227,4,9,3,211
USR00070,False,normal,65,High,17,0.0,2.1280852788913944,False,0.40909090909090906,1,5,1,10,1,4,1.0,2324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,914500,914500,50000,1,1,914500,914500,50000,1,1,914500,914500,50000,1,103,0,0,0,0,0,0,1,2,2,0,0.0,306,9979,307,313,4,9,3,297
USR00071,True,shared_device_abuse,15,Low,22,0.0,2.751629167387823,False,0.24545454545454543,1,2,1,1,1,2,0.75,399,2,0,0,0,0,0,1,256500,256500,10000,1,4,820000,205000,34000,3,4,820000,205000,34000,3,4,820000,205000,34000,3,4,820000,205000,34000,3,95,0,0,0,0,0,0,1,1,3,0,0.0,252,9979,253,257,1,0,1,255
USR00072,False,normal,65,High,17,0.0,2.807354922057604,False,0.2818181818181818,1,5,1,10,1,4,1.0,1900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4912000,4912000,50000,1,1,4912000,4912000,50000,1,101,0,0,0,0,0,0,1,1,1,0,0.0,147,9979,148,153,4,9,3,137
USR00073,True,referral_abuse,15,Low,22,0.0,3.084962500721156,False,0.3090909090909091,1,2,1,1,1,2,0.75,905,1,0,0,0,0,0,4,605000,151250,52500,3,4,605000,151250,52500,3,4,605000,151250,52500,3,4,605000,151250,52500,3,4,605000,151250,52500,3,53,1,2,3,3,3,3,3,4,4,0,0.0,256,9979,257,265,1,0,1,263
